Tipo;Hinário;Número;Título;Tom;Referência;Cifra PDF;VS mp3
Hino;HCC;228;A Deus demos Glória;;;;
Música;;;Ainda que a figueira;A;https://www.youtube.com/watch?v=hFwNSQVi0q0;;
Música;;;Atrai o meu coração;D;https://www.youtube.com/watch?v=WTcHSW43bt0;;
Música;;;Celebrai com Júbilo;E;https://www.youtube.com/watch?v=wgnLn7_uzeU;;
Música;;;Colossenses e suas linhas;D;https://www.youtube.com/watch?v=MeX0yHMs9Nk;;
Hino;CC;406;Confiar em Cristo;;;;
Música;;;Coro Santo (Banda);;;;
Música;;;Cristo Venceu;A;https://www.youtube.com/watch?v=Kms05Fz2WsI;;
Música;;;Ele é exaltado;D;https://www.youtube.com/watch?v=FFPiiZEzWJg;;
Música;;;Estamos de Pé;A;https://www.youtube.com/watch?v=4x-yrCz1D9g;;
Música;;;Fome;C;https://www.youtube.com/watch?v=fJ5jeyZSEmU;;
Hino;CC;06;Glória ao Senhor;;;;
Música;;;Jesus é o rei da Glória;G;https://www.youtube.com/watch?v=Sb6NVzVcp0g;;
Música;;;Louvor e Honra;D;https://www.youtube.com/watch?v=2hNyoLlVHHU;;
Música;;;Mais forte que a morte;G;https://www.youtube.com/watch?v=HMH5EnH2FvA;;
Hino;HCC;408;Mestre o mar se revolta;;;;
Hino;HCC;361;Meu Senhor sou teu;;;;
Hino;CC;294;Necessitado;;;;
Hino;HCC;491;No serviço do meu Rei;;;;
Hino;CC;377;Não sei por que;;;;
Hino;CC;456;O Estandarte;;https://www.youtube.com/watch?v=TfIuwktmISw;;
Hino;CC;155;O grande amigo;;;;
Música;;;Obrigado Jesus;Bb;https://www.youtube.com/watch?v=Ckfsn1KpHXY;;
Música;;;Oferta de amor;G;https://www.youtube.com/watch?v=9iXjzpusq7M;;
Música;;;Preciso de Ti;G;https://www.youtube.com/watch?v=Hy6QJ6LJW2I;;
Hino;HCC;417;Que segurança;;;;
Música;;;Quero Louvar-te + Vem;;;;
Música;;;Redenção;D;https://www.youtube.com/watch?v=sX0KVSex6lI;;
Música;;;Salmo 96;G;https://www.youtube.com/watch?v=NcSF8sgP84A;;
Música;;;Senhor te Quero;G;https://www.youtube.com/watch?v=JMV-K0d1QYQ;;
Música;;;Tributo;E;;;
Música;;;Tu és Bom;E;https://www.youtube.com/watch?v=4gDi8FIJKHc;;
Música;;;É Ele;A;https://www.youtube.com/watch?v=L3b2gRB7YVc;;
